Read Parameterfile _struct_CTL.dat
Shot: 204118	Time: 0.004000000ms	gFile: /root/HEAT/data/nstx_204118_opticalExample/0.004000000/g204118_0.004000000
Bounding box: Rmin = 0.01  Rmax = 2.1500001  Zmin = -2.20000005  Zmax = 2.20000005
Using g-file!
HEAT-coil (0 = off, 1 = on): 0
Currents:
0	0	0	0	0	0	
Adjustments:
0	0	0	

Field lines are calculated
MapDirection(0=both, 1=pos.phi, -1=neg.phi): -1
Start Tracer for 746 points ... 
psimin = 0.9435095520485952	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910622703016122	steps = 1
psimin = 0.9435095469340045	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910622660360439	steps = 1
psimin = 0.9433558182699247	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910784978315425	steps = 1
psimin = 0.9433558180611983	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910784976574367	steps = 1
psimin = 0.9429199353632631	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911295244168678	steps = 1
psimin = 0.9429199324195425	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911295219793871	steps = 1
psimin = 0.9430609007411621	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001911121300688381	steps = 1
psimin = 0.9439945268794623	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910159994063341	steps = 1
psimin = 0.9445689222573466	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909703373213569	steps = 1
psimin = 0.9445128686930448	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909734564576873	steps = 1
psimin = 0.9443365631551889	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909872148025794	steps = 1
psimin = 0.9452221297130441	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909263145400212	steps = 1
psimin = 0.9453559133223216	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909157206039573	steps = 1
psimin = 0.9450616260394504	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909347823588752	steps = 1
psimin = 0.9456378505279658	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909001343348558	steps = 1
psimin = 0.9456378470280707	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909001313291718	steps = 1
psimin = 0.9454429045457321	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909112254189695	steps = 1
psimin = 0.9455501979802801	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909049329285873	steps = 1
psimin = 0.9448755124334989	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909472374422227	steps = 1
psimin = 0.9450616315828908	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909347871058339	steps = 1
psimin = 0.944929785744432	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909446791925779	steps = 1
psimin = 0.9439945230057599	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001910159961414228	steps = 1
psimin = 0.9445128630044585	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909734516247657	steps = 1
psimin = 0.9443413973598168	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909879802646225	steps = 1
psimin = 0.9443365592501898	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.001909872114937703	steps = 1
psimin = 0.9450616291417427	Lc at psimin = 0	<dpsi/dLc> = 0	Lc = 0.00190934785015431	steps = 1
psimin = 0.9456378498716539	Lc at psimin = 0	<dpsi/dLc> = 5.815726802848832e-14	Lc = 0.001909001337685454	steps = 1
psimin = 0.945637844857193	Lc at psimin = 0	<dpsi/dLc> = 5.815726802848832e-14	Lc = 0.001909001294559911	steps = 1
psimin = 0.9454429076327375	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909112280760123	steps = 1
psimin = 0.9452221318445679	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909263163692564	steps = 1
psimin = 0.9459108303785493	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.0019088668591886	steps = 1
psimin = 0.9455501934317404	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909049290081506	steps = 1
psimin = 0.9453559153994586	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909157223897635	steps = 1
psimin = 0.9448755068250388	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909472326521161	steps = 1
psimin = 0.944568917751072	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909703334897728	steps = 1
psimin = 0.9449297818723301	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909446758829769	steps = 1
psimin = 0.9450616277685969	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909347838395784	steps = 1
psimin = 0.9454429074303108	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909112279017808	steps = 1
psimin = 0.9448755117706809	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909472368761183	steps = 1
psimin = 0.9448755090174369	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909472345246123	steps = 1
psimin = 0.9450616289383138	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909347848412299	steps = 1
psimin = 0.9443365606374921	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.00190987212669267	steps = 1
psimin = 0.9438290093118085	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001910310105192048	steps = 1
psimin = 0.9438290143347974	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001910310147416356	steps = 1
psimin = 0.9439945244002929	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001910159973167917	steps = 1
psimin = 0.9443365575032167	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.00190987210013513	steps = 1
psimin = 0.9438290115384943	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001910310123910043	steps = 1
psimin = 0.9438290150079814	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001910310153075291	steps = 1
psimin = 0.9439945212496816	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001910159946613305	steps = 1
psimin = 0.9439945241936955	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001910159971426626	steps = 1
psimin = 0.944512865208145	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909734534969787	steps = 1
psimin = 0.9445128680268141	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909734558916704	steps = 1
psimin = 0.9443365604319659	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001909872124951203	steps = 1
psimin = 0.9458335856373425	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001908900045724202	steps = 1
psimin = 0.9459698360523136	Lc at psimin = 0	<dpsi/dLc> = 3.379657757439363e-18	Lc = 0.001908822852094637	steps = 1
psimin = 0.9456520358898562	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001909002675604116	steps = 1
psimin = 0.946150133804618	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001908738035359165	steps = 1
psimin = 0.9460232643954046	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001908805602367193	steps = 1
psimin = 0.9461507311445808	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001908743214510053	steps = 1
psimin = 0.9459702834149667	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001908826722362281	steps = 1
psimin = 0.945970161881033	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.00190882567103431	steps = 1
psimin = 0.9459973356058567	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001908822925804266	steps = 1
psimin = 0.9461505441161269	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001908741593141014	steps = 1
psimin = 0.9442004003255196	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001910001132513167	steps = 1
psimin = 0.9436700650164865	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001910472553995741	steps = 1
psimin = 0.9440858510602208	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001910073753848872	steps = 1
psimin = 0.9432849217050542	Lc at psimin = 0	<dpsi/dLc> = -1.163110748805338e-13	Lc = 0.001910856007926742	steps = 1
psimin = 0.9429466106140276	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911262466031108	steps = 1
psimin = 0.9429840625045264	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911226880832599	steps = 1
psimin = 0.9430849582094313	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911093368318259	steps = 1
psimin = 0.9427345322596722	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911550354137542	steps = 1
psimin = 0.9426993005254456	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911588380269472	steps = 1
psimin = 0.9425893598793685	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911743478191185	steps = 1
psimin = 0.942589352636457	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911743418556383	steps = 1
psimin = 0.9431813022058851	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910998253109302	steps = 1
psimin = 0.943433584902762	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910700306329196	steps = 1
psimin = 0.9437195048631822	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910424583523747	steps = 1
psimin = 0.943953550893376	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910194955742239	steps = 1
psimin = 0.9433739801039365	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910766263943233	steps = 1
psimin = 0.9429466132936954	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.00191126248822954	steps = 1
psimin = 0.9430849642376101	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911093418373261	steps = 1
psimin = 0.9429927525214866	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911216179667882	steps = 1
psimin = 0.9425893515262297	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911743409415276	steps = 1
psimin = 0.9427427099674018	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911539199685368	steps = 1
psimin = 0.9426992997867082	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911588374175567	steps = 1
psimin = 0.9432085042213129	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910967083804459	steps = 1
psimin = 0.9434539853786086	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910692113085029	steps = 1
psimin = 0.9426992994173394	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911588371128623	steps = 1
psimin = 0.9425893543810998	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911743432920963	steps = 1
psimin = 0.9426993025305901	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911588396810073	steps = 1
psimin = 0.9425893571302342	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911743455556074	steps = 1
psimin = 0.9430849607255407	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001911093389210785	steps = 1
psimin = 0.9435244424257891	Lc at psimin = 0	<dpsi/dLc> = -2.324880044605537e-13	Lc = 0.001910608276291399	steps = 1
psimin = 0.9435244400841104	Lc at psimin = 0	<dpsi/dLc> = -1.743796496615224e-13	Lc = 0.001910608256704016	steps = 1
psimin = 0.9433739766088139	Lc at psimin = 0	<dpsi/dLc> = -1.743796496615224e-13	Lc = 0.00191076623478036	steps = 1
psimin = 0.9430849619835955	Lc at psimin = 0	<dpsi/dLc> = -1.743796496615224e-13	Lc = 0.001911093399657049	steps = 1
psimin = 0.9435244425298638	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001910608277161959	steps = 1
psimin = 0.9435244397718867	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001910608254092352	steps = 1
psimin = 0.9433739778607981	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001910766245226765	steps = 1
psimin = 0.9433739782259601	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001910766248273634	steps = 1
psimin = 0.9429466133987804	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001911262489100068	steps = 1
psimin = 0.9429466109292824	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001911262468642674	steps = 1
psimin = 0.943084962350528	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001911093402703865	steps = 1
psimin = 0.9441172484026646	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001910046869350195	steps = 1
psimin = 0.9445041854772117	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001909742010027673	steps = 1
psimin = 0.9448452897347392	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001909504454025394	steps = 1
psimin = 0.9442748561747984	Lc at psimin = 0	<dpsi/dLc> = -2.324880038383553e-13	Lc = 0.001909939774031649	steps = 1
psimin = 0.9444923040989848	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909761590539337	steps = 1
psimin = 0.9443322429111409	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909876449804407	steps = 1
psimin = 0.9456502743245837	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909006363178759	steps = 1
psimin = 0.945038957560662	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.00190936348796378	steps = 1
psimin = 0.9450496798498493	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909373147710762	steps = 1
psimin = 0.9454347015202339	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.00190912820316648	steps = 1
psimin = 0.9456000004483681	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909023214490615	steps = 1
psimin = 0.9455999981754762	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909023194887954	steps = 1
psimin = 0.94541023642283	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909132297505986	steps = 1
psimin = 0.9454102398148695	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909132326689408	steps = 1
psimin = 0.9448576460207531	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909485493002441	steps = 1
psimin = 0.9450389610358276	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.00190936351757628	steps = 1
psimin = 0.943922819979354	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001910222588497674	steps = 1
psimin = 0.944504182811949	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909741987387039	steps = 1
psimin = 0.9443322369504897	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909876399301621	steps = 1
psimin = 0.9444486099738436	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909795219639996	steps = 1
psimin = 0.9450389588324811	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909363498851199	steps = 1
psimin = 0.9456000005493855	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909023215361846	steps = 1
psimin = 0.9456524668528113	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909006390583514	steps = 1
psimin = 0.9454102376378889	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909132307959747	steps = 1
psimin = 0.9453653144763997	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909175571961108	steps = 1
psimin = 0.9455903496063012	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909038847044796	steps = 1
psimin = 0.9454102340433395	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909132277034018	steps = 1
psimin = 0.9448576433178261	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909485469923024	steps = 1
