# X,Y,Z,HeatFlux
844.3552856445,118.2609736125,-1554.5238850911,0.0000000000
844.9878133138,120.7538604736,-1554.0879720052,0.0000000000
842.6670735677,121.6700871785,-1554.9141438802,0.0000000000
843.7892456055,120.3084665934,-1554.5852457682,0.0000000000
845.6740926107,119.4947738647,-1553.9195963542,0.0000000000
839.9070434570,122.7059148153,-1555.9008382161,0.0000000000
837.7534790039,120.6927083333,-1556.8875325521,0.0000000000
837.1469726562,123.7417424520,-1556.8875325521,0.0000000000
838.2691650391,122.3801218669,-1556.5586344401,0.0000000000
835.5999145508,118.6795043945,-1557.8742268880,0.0000000000
833.3509521484,117.1450500488,-1558.8610432943,0.0000000000
832.8398640951,119.7153320312,-1558.8610026042,0.0000000000
833.9620361328,118.3537139893,-1558.5320638021,0.0000000000
834.3869425456,124.7775675456,-1557.8742268880,0.0000000000
832.2333984375,122.7643636068,-1558.8610026042,0.0000000000
831.6268920898,125.8133926392,-1558.8610026042,0.0000000000
832.7490844727,124.4517745972,-1558.5320638021,0.0000000000
833.3555704753,121.4027430216,-1558.5320638021,0.0000000000
835.5091145833,123.4159495036,-1557.5453287760,0.0000000000
836.1156005859,120.3669153849,-1557.5453287760,0.0000000000
834.9934285482,121.7285359701,-1557.8742268880,0.0000000000
839.6687011719,117.5344060262,-1556.3902994792,0.0000000000
836.5132039388,117.6712265015,-1557.5988769531,0.0000000000
838.8756713867,119.3310902913,-1556.5586344401,0.0000000000
841.0292154948,121.3442942301,-1555.5719401042,0.0000000000
840.5135294596,119.6568832397,-1555.9008382161,0.0000000000
842.9511515299,118.8489913940,-1555.0211588542,0.0000000000
841.3132934570,118.5232009888,-1555.6789550781,0.0000000000
838.1510823568,117.9970194499,-1556.9410807292,0.0000000000
828.8668416341,126.8492228190,-1559.8477376302,0.0000000000
826.7132771810,124.8360188802,-1560.8344319661,0.0000000000
826.1068115234,127.8850529989,-1560.8344319661,0.0000000000
827.2289835612,126.5234324137,-1560.5055338542,0.0000000000
824.5597330729,122.8228123983,-1561.8211263021,0.0000000000
822.4061889648,120.8096084595,-1562.8078206380,0.0000000000
